OID_;Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Note;Prob;Classified
0;1610;6331030,711649999953806;485406,801020000013523;271,458320000000015;1610;100,000000000000000;20,000000000000000;26,000000000000000;37,000000000000000;38,000000000000000;5,000000000000000;0,000000000000000;72,768394999999998;97,863837000000004;137,928490000000011;mulljord, block;86;2
1;1611;6331028,129460000433028;485418,203189999971073;252,019080000000002;1611;100,000000000000000;50,000000000000000;18,000000000000000;35,000000000000000;46,000000000000000;5,000000000000000;0,000000000000000;100,280434999999997;102,835123999999993;115,830719000000002;mulljord;84;2
2;1612;6331024,519220000132918;485422,979939999990165;257,499360000000024;1612;100,000000000000000;40,000000000000000;31,000000000000000;34,000000000000000;38,000000000000000;5,000000000000000;0,000000000000000;62,784185999999998;105,540090000000006;137,928490000000011;mulljord,  block;89;2
3;1613;6331014,918920000083745;485424,365890000015497;256,219020000000000;1613;100,000000000000000;40,000000000000000;32,000000000000000;37,000000000000000;40,000000000000000;5,000000000000000;0,000000000000000;61,161752999999997;97,863837000000004;131,575380999999993;mulljord, block;91;2
4;1614;6331012,983310000039637;485423,674110000021756;251,325179999999989;1614;100,000000000000000;40,000000000000000;27,000000000000000;33,000000000000000;43,000000000000000;5,000000000000000;0,000000000000000;70,475724999999997;108,408991999999998;123,153817000000004;mulljord, block;91;2
5;1615;6331010,089080000296235;485423,063169999979436;252,040449999999993;1615;100,000000000000000;50,000000000000000;40,000000000000000;48,000000000000000;53,000000000000000;4,000000000000000;0,000000000000000;51,102663000000000;77,926901999999998;101,967494000000002;mulljord;90;2
6;1616;6331005,994009999558330;485425,109929999976885;253,377389999999991;1616;100,000000000000000;30,000000000000000;26,000000000000000;29,000000000000000;30,000000000000000;4,000000000000000;0,000000000000000;72,768394999999998;121,863156000000004;171,811739999999986;mulljord, block;80;2
7;1900;6329150,659699999727309;487388,333250000025146;204,894910000000010;1900;100,000000000000000;20,000000000000000;29,000000000000000;29,000000000000000;29,000000000000000;5,000000000000000;30,000000000000000;66,364729999999994;121,863156000000004;177,361582999999996;block;93;2
8;1901;6329148,108000000007451;487385,395079999987502;212,507630000000006;1901;40,000000000000000;15,000000000000000;17,000000000000000;20,000000000000000;21,000000000000000;5,000000000000000;6,000000000000000;105,540090000000006;171,811739999999986;240,788354999999996;block;87;2
9;1902;6329143,087860000319779;487385,339159999974072;205,059050000000013;1902;70,000000000000000;15,000000000000000;19,000000000000000;23,000000000000000;26,000000000000000;4,000000000000000;7,000000000000000;95,574427999999997;150,818857000000008;196,572575999999998;block;87;2
10;1903;6329139,345420000143349;487383,608989999978803;205,320600000000013;1903;80,000000000000000;10,000000000000000;10,000000000000000;12,000000000000000;12,000000000000000;4,000000000000000;10,000000000000000;171,811739999999986;279,108697000000006;413,229894000000002;block;82;2
11;1904;6329137,348439999856055;487382,269830000004731;205,045440000000013;1904;65,000000000000000;10,000000000000000;18,000000000000000;18,000000000000000;20,000000000000000;4,000000000000000;10,000000000000000;100,280434999999997;189,694566000000009;252,284458000000001;block;83;2
12;1905;6329132,113389999605715;487381,151729999983218;207,066679999999991;1905;20,000000000000000;5,000000000000000;8,000000000000000;8,000000000000000;8,000000000000000;3,000000000000000;0,000000000000000;212,048099000000008;413,229894000000002;614,411689000000024;block;53;2
13;1906;6329129,646710000000894;487380,128440000000410;205,007689999999997;1906;20,000000000000000;10,000000000000000;9,000000000000000;13,000000000000000;19,000000000000000;3,000000000000000;15,000000000000000;189,694566000000009;258,474667000000011;264,990677000000005;block;54;1
14;1907;6329152,244359999895096;487391,772929999977350;208,412859999999995;1907;100,000000000000000;15,000000000000000;22,000000000000000;23,000000000000000;25,000000000000000;5,000000000000000;20,000000000000000;84,023319999999998;150,818857000000008;204,000826999999987;block;86;2
15;1908;6329158,262170000001788;487392,461980000021867;205,044880000000006;1908;100,000000000000000;20,000000000000000;27,000000000000000;28,000000000000000;29,000000000000000;5,000000000000000;20,000000000000000;70,475724999999997;125,827330000000003;177,361582999999996;block;92;2
16;1909;6329160,809179999865592;487394,647140000015497;205,181890000000010;1909;100,000000000000000;30,000000000000000;46,000000000000000;51,000000000000000;53,000000000000000;5,000000000000000;30,000000000000000;45,854441999999999;73,982161000000005;101,967494000000002;block;84;2
17;1910;6329163,774369999766350;487397,249780000012834;204,959329999999994;1910;100,000000000000000;20,000000000000000;24,000000000000000;25,000000000000000;25,000000000000000;5,000000000000000;30,000000000000000;77,926901999999998;139,622653000000014;204,000826999999987;block;80;2
18;1911;6329167,058029999956489;487399,322790000005625;204,675999999999988;1911;100,000000000000000;20,000000000000000;23,000000000000000;27,000000000000000;29,000000000000000;5,000000000000000;20,000000000000000;80,842579999999998;130,085145000000011;177,361582999999996;block;48;2
19;1912;6329171,942940000444651;487400,484590000007302;205,583589999999987;1912;100,000000000000000;10,000000000000000;17,000000000000000;19,000000000000000;19,000000000000000;4,000000000000000;10,000000000000000;105,540090000000006;180,282552000000010;264,990677000000005;rot;38;1
20;1913;6329180,304240000434220;487403,445010000024922;209,049419999999998;1914;80,000000000000000;15,000000000000000;24,000000000000000;24,000000000000000;24,000000000000000;3,000000000000000;10,000000000000000;77,926901999999998;144,987501000000009;212,048099000000008;block;13;1
21;1914;6329174,176920000463724;487398,245799999975134;209,413659999999993;1913;45,000000000000000;20,000000000000000;15,000000000000000;22,000000000000000;29,000000000000000;3,000000000000000;20,000000000000000;118,163261000000006;157,180337000000009;177,361582999999996; ;16;1
