Name;Northing;Easting;Elevation;Waypoint;soil_moist;Average_so;F5cm;F10cm;F15cm;Soil_class;O_horizon;Kpa5;Kpa10;Kpa15;Prob;Classified
1610;6331030.71165;485406.80102;271.45832;1610;100;20;26;37;38;5;0;72.768395;97.863837;137.92849;86;2
1611;6331028.12946;485418.20319;252.01908;1611;100;50;18;35;46;5;0;100.280435;102.835124;115.830719;84;2
1612;6331024.51922;485422.97994;257.49936;1612;100;40;31;34;38;5;0;62.784186;105.54009;137.92849;89;2
1613;6331014.91892;485424.36589;256.21902;1613;100;40;32;37;40;5;0;61.161753;97.863837;131.575381;91;2
1614;6331012.98331;485423.67411;251.32518;1614;100;40;27;33;43;5;0;70.475725;108.408992;123.153817;91;2
1615;6331010.08908;485423.06317;252.04045;1615;100;50;40;48;53;4;0;51.102663;77.926902;101.967494;90;2
1616;6331005.99401;485425.10993;253.37739;1616;100;30;26;29;30;4;0;72.768395;121.863156;171.81174;80;2
1900;6329150.6597;487388.33325;204.89491;1900;100;20;29;29;29;5;30;66.36473;121.863156;177.361583;93;2
1901;6329148.108;487385.39508;212.50763;1901;40;15;17;20;21;5;6;105.54009;171.81174;240.788355;87;2
1902;6329143.08786;487385.33916;205.05905;1902;70;15;19;23;26;4;7;95.574428;150.818857;196.572576;87;2
1903;6329139.34542;487383.60899;205.3206;1903;80;10;10;12;12;4;10;171.81174;279.108697;413.229894;82;2
1904;6329137.34844;487382.26983;205.04544;1904;65;10;18;18;20;4;10;100.280435;189.694566;252.284458;83;2
1905;6329132.11339;487381.15173;207.06668;1905;20;5;8;8;8;3;0;212.048099;413.229894;614.411689;53;2
1906;6329129.64671;487380.12844;205.00769;1906;20;10;9;13;19;3;15;189.694566;258.474667;264.990677;54;1
1907;6329152.24436;487391.77293;208.41286;1907;100;15;22;23;25;5;20;84.02332;150.818857;204.000827;86;2
1908;6329158.26217;487392.46198;205.04488;1908;100;20;27;28;29;5;20;70.475725;125.82733;177.361583;92;2
1909;6329160.80918;487394.64714;205.18189;1909;100;30;46;51;53;5;30;45.854442;73.982161;101.967494;84;2
1910;6329163.77437;487397.24978;204.95933;1910;100;20;24;25;25;5;30;77.926902;139.622653;204.000827;80;2
1911;6329167.05803;487399.32279;204.676;1911;100;20;23;27;29;5;20;80.84258;130.085145;177.361583;48;2
1912;6329171.94294;487400.48459;205.58359;1912;100;10;17;19;19;4;10;105.54009;180.282552;264.990677;38;1
1913;6329180.30424;487403.44501;209.04942;1914;80;15;24;24;24;3;10;77.926902;144.987501;212.048099;13;1
1914;6329174.17692;487398.2458;209.41366;1913;45;20;15;22;29;3;20;118.163261;157.180337;177.361583;16;1
1915;6329168.2482;487297.81348;208.13356;1915;100;10;18;20;21;5;20;100.280435;171.81174;240.788355;80;2
1916;6329163.83935;487298.50574;208.15972;1916;65;20;20;23;25;4;20;91.339022;150.818857;204.000827;41;1
1917;6329160.98752;487298.15589;208.75211;1917;45;5;23;30;34;3;10;80.84258;118.163261;152.876983;33;1
1918;6329157.87617;487296.13546;208.26801;1918;100;20;28;31;32;3;20;68.346817;114.702069;161.75265;17;1
1919;6329155.16375;487292.43064;209.76256;1919;100;20;19;23;31;5;15;95.574428;150.818857;166.619952;17;1
1920;6329171.54108;487297.17024;213.05567;1920;100;20;20;22;23;5;20;91.339022;157.180337;220.795134;76;2
1921;6329175.05488;487298.71845;209.02595;1921;30;15;37;50;60;5;20;54.36507;75.244478;91.339022;78;2
1922;6329177.78937;487296.35097;209.51545;1922;100;20;17;18;19;4;30;105.54009;189.694566;264.990677;72;2
1923;6329180.78608;487297.87338;210.86761;1923;25;20;24;29;30;3;19;77.926902;121.863156;171.81174;63;2
1924;6329185.07313;487297.57994;214.10439;1924;0;20;8;14;19;3;0;212.048099;240.788355;264.990677;35;1
2000;6331659.6562;486586.82782;270.98777;2000;100;30;33;48;60;5;30;59.637648;77.926902;91.339022;76;2
2001;6331658.74498;486591.00493;276.38289;2001;100;30;35;42;47;5;35;56.850714;87.506988;113.597433;60;2
2002;6331658.14595;486594.97114;277.90687;2002;20;15;13;15;15;3;0;134.670485;225.460219;332.757176;25;1
2003;6331655.99016;486600.20796;281.59944;2003;15;30;8;14;20;3;0;212.048099;240.788355;252.284458;8;1
2004;6331658.62201;486583.67401;271.8482;2004;100;40;37;44;44;5;50;54.36507;84.02332;120.601828;91;2
2005;6331660.64673;486581.21008;275.50203;2005;100;30;43;52;54;5;20;48.295475;72.768395;100.280435;88;2
2006;6331659.67598;486576.04774;276.82555;2006;15;15;13;24;33;3;7;134.670485;144.987501;157.180337;69;2
2007;6331658.90908;486573.11384;284.55558;2007;20;10;14;19;24;3;6;125.82733;180.282552;212.048099;39;1
2008;6331662.20337;486568.76651;278.16739;2008;0;10;8;8;8;3;2;212.048099;413.229894;614.411689;13;1
2009;6331834.33606;486630.59134;282.03901;2009;100;30;33;45;48;5;30;59.637648;82.397609;111.457201;59;2
2010;6331835.14398;486634.9925;286.07535;2010;70;10;9;9;9;4;10;189.694566;368.522829;547.351091;9;1
2011;6331833.79226;486638.27734;281.69357;2011;15;5;5;5;5;3;1;332.757176;654.648049;976.538921;7;1
2012;6331832.24343;486626.54618;287.02382;2012;100;50;74;77;78;5;50;32.615687;52.670313;72.768395;87;2
